longitude,latitude
-77.459023,39.016363
-122.397923,37.723407
-96.81955,32.800955
-122.160775,37.445896
-121.782967,37.241767
-87.618342,41.85365
-118.2573,34.047501
-74.173402,40.736844
-74.008299,40.717723
-84.39153,33.755456
-79.384128,43.644672
-80.193157,25.782648
-74.003387,40.741469
4.950837,52.356394
-118.255564,34.047942
-121.891649,37.334147
-118.255186,34.048428
-122.390509,37.788669
-0.460224,51.482248
-74.072237,40.778534
-74.003387,40.741469
-0.010775,51.499819
-0.018933,51.496902
-0.014327,51.498842
-0.073777,51.520397
-0.003494,51.510985
-0.010634,51.511364
2.38532,48.856654
2.344236,48.869869
2.257694,48.903746
2.369496,48.902082
4.862905,45.722882
8.73463,50.11967
8.631763,50.099697
8.632004,50.09885
4.951609,52.356353
4.938009,52.303078
4.828711,52.343984
4.770855,52.28415
16.357784,48.214151
16.410613,48.269027
4.476941,50.870502
-96.81955,32.800955
-122.338883,47.614347
2.259202,48.904891
2.369221,48.90407
8.644169,50.096869
2.370417,48.906617
-2.236869,53.463112
-2.247633,53.464393
-0.011758,51.500621
4.838579,52.396814
8.557273,47.432702
8.520255,47.387749
-121.988591,37.376348
-122.338864,47.614358
-77.219692,38.908422
-118.259585,34.048897
4.952501,52.356671
6.86722,51.18827
8.630057,50.096962
11.526173,48.139859
5.624974,52.030762
8.636254,50.103483
6.84964,52.236979
8.623156,50.081709
-74.004561,40.72
-3.660963,40.466022
2.137457,41.351557
-84.39153,33.755456
-9.123454,38.787919
-3.648584,40.536855
7.582093,47.546259
-3.621211,40.439323
151.188025,-33.921868
4.412116,50.857721
2.111883,41.387314
6.144251,46.203607
139.764809,35.686406
127.051167,37.488139
-77.238951,38.931419
-75.161377,39.959668
12.377482,55.728092
-80.194926,25.848356
37.528861,55.652639
6.86728,51.18819
9.103887,45.476177
13.369905,52.465779
17.955657,59.362574
7.478187,46.964845
12.301459,55.662
153.027805,-27.465681
151.207641,-33.872665
144.956726,-37.819171
138.594121,-34.927233
147.328921,-42.881849
-6.41897,53.296306
-46.814577,-23.497589
-123.111935,49.284697
139.749055,35.576366
114.11932,22.365581
-112.072042,33.452003
-121.98778,37.373412
-6.365538,53.334251
-6.439957,53.318647
-3.671891,40.513497
11.17706,49.38991
-86.172275,39.75988
-74.008333,40.717664
-74.003203,40.741355
4.402951,51.264294
11.662742,48.135973
4.455068,50.887474
151.182583,-33.883255
151.197691,-33.875599
151.203797,-33.881547
153.030416,-27.467146
153.03099,-27.459649
144.956817,-37.817684
138.6013,-34.926075
11.063356,49.453955
17.916696,59.422226
103.772471,1.297541
4.414322,51.930359
5.845593,50.995925
14.482978,50.060164
14.451122,50.08103
14.475889,50.078094
14.428607,50.062152
6.86608,51.188
-71.060266,42.354692
6.163425,49.637537
12.377342,55.661921
114.246512,22.266098
5.373865,43.310818
3.090551,50.63768
-0.557421,44.889099
7.781145,48.569149
5.169722,52.241526
4.842597,52.399861
4.788162,52.29257
4.774186,52.259795
6.300252,51.954184
3.887893,43.60956
-0.082993,51.522955
17.943347,59.405682
1.423103,43.620447
-82.994861,39.968171
-3.295901,55.930562
6.81752,51.267301
-122.680792,45.521366
8.601436,50.128192
-74.06912,40.78616
103.789842,1.295229
-87.631453,41.876212
-77.029149,38.902918
8.629585,50.1009
8.63429,50.101713
7.660825,45.090688
4.503629,50.872026
19.055712,47.51796
19.107458,47.448989
2.350664,48.927166
-79.384228,43.644632
-118.256985,34.048275
13.428412,52.452868
-90.195238,38.625536
-118.383778,33.921239
8.495621,47.38338
106.820607,-6.208937
10.810183,59.924726
10.71639,59.942329
-74.007652,40.743136
37.551781,55.805323
-74.173402,40.736844
6.80715,51.219632
-0.018318,51.494644
-0.100964,51.528721
-118.235357,34.058096
30.629527,50.551468
8.666501,50.105084
-89.386996,43.073336
4.665267,52.391165
4.943121,52.299929
6.142697,52.488492
149.133934,-35.251849
103.893828,1.336723
-104.995636,39.745636
37.652576,55.770625
-79.384128,43.644672
114.246038,22.266947
-82.459331,27.947729
-0.27746,51.528788
-0.635545,51.523805
-96.794219,32.787212
-118.25745,34.047335
4.919422,52.333407
-77.462489,39.017808
-95.365882,29.753242
-122.348278,47.619238
-89.406318,43.071309
10.834971,59.938433
12.935775,55.571236
-82.458393,27.949606
5.623903,52.027212
14.53335,50.082018
121.614548,25.042185
6.52852,53.246048
10.04365,53.54799
12.002845,57.731137
-94.581036,39.100941
-121.888457,37.388235
-121.954945,37.378463
26.120789,44.481916
-87.631453,41.876212
4.851132,52.396443
11.06364,49.45341
13.36945,52.50192
-86.171857,39.759366
6.055572,46.232973
139.748106,35.617432
13.36945,52.50192
121.577519,25.073467
8.741764,50.141895
-9.146581,38.756444
101.70634,3.14969
21.005015,52.227718
13.36937,52.46566
17.095572,48.118746
-87.618342,41.85365
-121.973377,37.372818
11.06364,49.45341
-86.255805,41.669526
9.17098,48.70899
13.237136,52.538479
11.55584,48.143056
12.998449,55.606818
30.510193,50.445102
37.607766,55.792351
37.652226,55.771098
30.44867,50.45131
4.923265,52.332165
-117.09123,47.671879
-117.4193,47.658139
-96.819412,32.800748
-87.906937,43.039016
30.509689,50.445241
21.003357,52.227354
-122.014572,37.399589
11.06364,49.45341
11.06364,49.45341
-71.086779,42.367691
4.305055,51.587535
-82.995994,39.963183
-111.895495,33.64465
-0.257425,51.530547
12.519543,55.784385
7.744168,48.60056
-96.794219,32.787212
-74.008299,40.717723
-74.031129,40.796857
-121.920111,37.471809
72.83155,19.020332
12.512156,41.898919
-80.19313,25.775869
-86.778674,36.162626
115.855457,-31.955572
-74.008333,40.717664
-111.976435,33.454411
-122.014482,37.41438
-95.938191,41.257352
-121.978279,37.394031
-84.06101,34.035431
-84.421036,33.777526
-80.379598,25.791541
-71.079763,42.376703
-73.557923,40.7558
-122.29441,47.494136
139.76791,35.686087
139.779481,35.687467
-2.258538,53.37912
8.63461,50.1003
-74.173402,40.736844
-80.190819,26.184971
100.573655,13.769684
-111.858984,33.421225
7.075697,43.604752
-84.391066,33.755807
1.076366,49.428736
12.307179,55.662392
2.081473,48.726927
8.515613,47.186808
-118.255186,34.048428
-96.857296,32.807888
