lon,lat,geometry,index_right,OBJECTID,GP_RTP,GP_REX,GP_RAV,GP_RRG,GP_RCY,GP_RSE,GP_RSI,GP_RSY,Shape_Length,gp_gripreg,dist_meters
-4.75,30.0,POINT (-446249.0461603964 3644924.229349858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,50107.3531929886
-4.75,30.25,POINT (-446249.0461603964 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,73567.21080636658
-4.75,30.5,POINT (-446249.0461603964 3700281.733623195),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,85135.32726341196
-4.5,30.25,POINT (-422127.47609767225 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,54337.94898600463
-4.5,30.5,POINT (-422127.47609767225 3700281.733623195),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,61733.393586695565
-4.5,30.75,POINT (-422127.47609767225 3727856.9498209287),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,72984.25756946814
-4.25,29.25,POINT (-398005.90603494813 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,44753.26276589272
-4.25,30.25,POINT (-398005.90603494813 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,32546.002887615217
-4.25,30.5,POINT (-398005.90603494813 3700281.733623195),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,38879.40250330235
-4.25,30.75,POINT (-398005.90603494813 3727856.9498209287),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,53546.85157070088
-4.0,29.0,POINT (-373884.33597222395 3533395.711036501),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,81674.84403450516
-4.0,29.25,POINT (-373884.33597222395 3561378.205842858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,58427.1661948919
-4.0,29.5,POINT (-373884.33597222395 3589294.144142208),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,35491.35733633608
-4.0,29.75,POINT (-373884.33597222395 3617142.9952009427),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,15632.663462199029
-4.0,30.0,POINT (-373884.33597222395 3644924.229349858),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,1246.274318142225
-4.0,30.25,POINT (-373884.33597222395 3672637.317994114),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,8876.81127708744
-4.0,30.5,POINT (-373884.33597222395 3700281.733623195),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,17687.55226418716
-4.0,30.75,POINT (-373884.33597222395 3727856.9498209287),1489113.0,24498496.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,5.717192280340876,3.0,38421.1191420728
-4.0,31.0,POINT (-373884.33597222395 3755362.4412754816),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,54630.10851726571
-4.0,31.25,POINT (-373884.33597222395 3782797.6837893697),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,68420.4281643583
-4.0,31.5,POINT (-373884.33597222395 3810162.1542895245),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,64436.94015225883
