lon,lat,cap_mid,annual_cf,t2m_mean,t2m_max,t2m_min
-6,26.5,27.944,0.251,26.95780778,47.24013737,3.521407212
-6,26.75,27.236,0.251,26.82275115,47.17703356,3.089858541
-6,27,27.405,0.251,26.68455096,47.18110477,2.703093223
-6,27.25,27.21,0.253,26.27694013,46.88594176,2.131087674
-6,27.5,27.114,0.255,25.78555009,46.52767494,1.726001894
-6,27.75,27.395,0.256,25.50303501,46.22844072,1.471551027
-6,28,26.721,0.256,25.28174432,46.26304604,0.980969756
-6,28.25,26.891,0.254,25.56802658,46.44828627,0.934150796
-6,28.5,26.349,0.253,25.75629658,46.21215587,1.787070102
-6,28.75,26.325,0.252,25.78719104,45.91699286,1.998773224
-6,29,25.824,0.252,25.56771605,45.36534338,2.072055073
-6,29.25,25.762,0.251,25.53795317,45.13735541,2.131087674
-6,29.5,25.315,0.249,25.84950903,45.48340859,1.951954264
-6,29.75,1.532,0.247,26.09981522,45.99434593,2.839478888
-6,30,0,0.246,25.69994846,45.78671402,4.333614379
-6,30.25,0,0.246,24.31227563,44.24372396,3.476623859
-6,30.5,0,0.244,23.6032279,43.37859101,2.265437732
-6,30.75,0,0.246,21.89862979,40.98471726,0.720412068
-5.75,18.25,35.536,0.262,27.90273518,44.98468489,6.971760968
-5.75,18.5,34.895,0.262,27.94548153,45.21063726,6.350900852
-5.75,18.75,35.068,0.262,27.9473964,45.3409161,5.92749461
-5.75,19,35.015,0.262,27.87076266,45.34905853,5.797215766
-5.75,19.25,34.963,0.262,27.80362517,45.41623356,5.844034725
-5.75,19.5,34.437,0.262,27.73555377,45.43658963,6.243013685
-5.75,19.75,34.384,0.262,27.72905508,45.52412072,6.434360737
-5.75,20,34.329,0.261,27.78503497,45.88849437,6.08016513
-5.75,20.25,33.805,0.261,27.78978889,46.18365737,6.05980906
-5.75,20.5,33.75,0.26,27.92508931,46.53174616,6.047595419
-5.75,20.75,33.695,0.258,28.38858663,46.66609622,6.283725823
-5.75,21,33.172,0.257,28.87882863,46.9266539,6.501535766
-5.75,21.25,33.046,0.255,29.18456456,47.20553205,6.228764436
-5.75,21.5,32.916,0.255,29.28283334,47.63708072,5.835892298
-5.75,21.75,32.497,0.255,29.1459842,47.6309739,5.909174147
-5.75,22,32.352,0.255,28.91473517,47.51901552,5.662865708
-5.75,22.25,32.379,0.255,28.75867475,47.37041621,5.172284436
-5.75,22.5,31.682,0.255,28.68398462,47.35616697,4.860836575
-5.75,22.75,31.84,0.254,28.58957663,47.42944882,4.622670564
-5.75,23,31.766,0.254,28.41108282,47.31341922,4.543281893
-5.75,23.25,31.035,0.255,28.11108594,47.06711078,4.602314494
-5.75,23.5,31.011,0.256,27.79874565,46.86558569,4.673560737
-5.75,23.75,30.687,0.256,27.71540001,46.64370454,4.836409292
-5.75,24,27.942,0.253,28.10432144,47.10985853,3.847104321
-5.75,24.25,23.748,0.25,28.4639947,47.89153159,4.290866633
-5.75,24.5,29.792,0.249,28.66236858,48.42078939,4.31936513
-5.75,24.75,29.981,0.249,28.32139491,48.30679541,4.197228714
-5.75,25,29.828,0.25,27.79917924,47.86303309,3.790107327
-5.75,25.25,29.417,0.251,27.41755716,47.51494431,3.120392645
-5.75,25.5,29.346,0.251,27.29339997,47.37245182,2.939223628
-5.75,25.75,29.284,0.251,27.44672469,47.37652304,3.425733686
-5.75,26,28.776,0.25,27.42176348,47.36430939,3.454232183
-5.75,26.25,28.474,0.249,27.34092782,47.41316396,3.8409975
-5.75,26.5,27.843,0.249,27.24029204,47.4844102,3.745323975
-5.75,26.75,27.817,0.25,27.0447301,47.41519957,3.224208599
-5.75,27,27.246,0.251,26.73161672,47.16889113,2.483247674
-5.75,27.25,25.02,0.253,26.15243927,46.86558569,1.552975305
-5.75,27.5,25.942,0.255,25.64181687,46.71291517,1.1112486
-5.75,27.75,26.561,0.256,25.34350845,46.34650593,1.194708484
-5.75,28,24.019,0.256,25.28975698,46.20604905,0.960613686
-5.75,28.25,26.825,0.254,25.65243057,46.47067795,1.070536461
-5.75,28.5,26.388,0.253,25.86408086,46.43810824,1.622185941
-5.75,28.75,26.325,0.251,25.96188384,46.1327672,1.935669409
-5.75,29,26.127,0.251,25.69249592,45.54244119,1.984523975
-5.75,29.25,25.762,0.251,25.55330157,45.38773506,2.562636345
-5.75,29.5,23.297,0.249,25.85105079,45.70936096,2.733627327
-5.75,29.75,3.886,0.247,26.05026983,46.2202983,2.340755189
-5.75,30,0,0.246,25.64425176,46.06152096,3.328024553
-5.75,30.25,0,0.245,24.79633272,44.89715379,3.784000506
-5.75,30.5,0,0.243,24.71065461,44.26408003,4.085270333
-5.75,30.75,0,0.246,22.87257246,41.83763656,1.744322357
-5.75,31,0,0.248,19.91919647,38.15522362,0.384536924
-5.5,18.25,35.632,0.262,27.89140215,45.03150385,6.766164667
-5.5,18.5,35.484,0.262,27.93429473,45.25745622,6.141233338
-5.5,18.75,35.068,0.261,27.97185961,45.32259564,6.029274956
-5.5,19,35.015,0.262,27.89653427,45.30834639,5.931565824
-5.5,19.25,34.963,0.262,27.81162925,45.37755702,5.514266402
-5.5,19.5,34.437,0.262,27.75215519,45.53836997,5.803322587
-5.5,19.75,34.384,0.262,27.74048011,45.70528974,6.171767442
-5.5,20,34.329,0.261,27.79728893,46.08798385,6.035381777
-5.5,20.25,33.805,0.261,27.80201666,46.38314685,6.015025708
-5.5,20.5,33.75,0.26,27.99028041,46.6029924,6.181945477
-5.5,20.75,33.695,0.258,28.45391237,46.89204858,6.418075881
-5.5,21,33.172,0.257,29.01170923,46.93276072,6.760057846
-5.5,21.25,33.018,0.255,29.28882151,47.1912828,6.397719812
-5.5,21.5,32.937,0.255,29.33369826,47.75311032,5.962099928
-5.5,21.75,32.529,0.254,29.25438583,47.73478986,6.002812066
-5.5,22,32.468,0.254,29.06011375,47.64725876,5.803322587
-5.5,22.25,32.299,0.255,28.86299451,47.53937159,5.048112413
-5.5,22.5,30.544,0.254,28.78809975,47.52512234,4.738700159
-5.5,22.75,31.809,0.254,28.75283467,47.61061783,4.67152513
-5.5,23,31.774,0.254,28.54161357,47.52512234,4.486284899
-5.5,23.25,31.093,0.255,28.22591118,47.26252905,4.474071258
-5.5,23.5,31.181,0.256,27.86897455,47.00807818,4.323436344
-5.5,23.75,30.664,0.256,27.69253188,46.79230385,4.364148483
-5.5,24,28.597,0.255,27.88411484,46.94700997,4.476106864
-5.5,24.25,21.181,0.251,28.35127783,47.74293228,3.926492992
-5.5,24.5,27.696,0.249,28.6774514,48.42689621,4.075092298
-5.5,24.75,29.766,0.248,28.70099019,48.53681899,4.494427327
-5.5,25,29.913,0.249,28.19940728,48.08491425,4.209442356
-5.5,25.25,29.221,0.25,27.68744819,47.56583448,3.926492992
-5.5,25.5,29.353,0.251,27.51610775,47.37245182,3.777893685
-5.5,25.75,29.295,0.251,27.38469476,47.35413136,3.047110796
-5.5,26,28.45,0.25,27.47793455,47.39077228,3.264920738
-5.5,26.25,28.318,0.249,27.38177901,47.40095032,3.332095767
-5.5,26.5,27.867,0.248,27.34200588,47.3948435,3.696469408
-5.5,26.75,26.249,0.249,27.16503553,47.41723517,3.238457848
-5.5,27,27.339,0.25,26.74739105,47.29713437,2.051699004
-5.5,27.25,24.506,0.252,26.18646617,47.09764489,1.13771149
-5.5,27.5,24.27,0.254,25.72996578,47.00807818,0.974862935
-5.5,27.75,26.249,0.255,25.42805566,46.49714084,1.129569062
-5.5,28,23.863,0.255,25.36307312,46.1917998,0.828299236
-5.5,28.25,26.828,0.253,25.74729138,46.51342569,1.050180392
-5.5,28.5,26.369,0.252,25.94424122,46.55617344,1.471551027
-5.5,28.75,26.325,0.25,26.06757435,46.17347934,1.766714033
-5.5,29,26.262,0.251,25.84868426,45.76432234,1.603865478
-5.5,29.25,25.762,0.251,25.70910104,45.54447679,2.232868021
-5.5,29.5,25.619,0.25,25.70867047,45.87424512,2.52599542
-5.5,29.75,24.929,0.248,25.90825821,46.1917998,2.267473339
-5.5,30,7.519,0.246,25.64386082,46.03098685,3.486801894
-5.5,30.25,0,0.245,24.82788625,44.92158107,3.476623859
-5.5,30.5,0,0.244,24.50669834,44.09716026,2.861870564
-5.5,30.75,0,0.245,23.77903676,43.28088188,2.259330911
-5.5,31,0,0.246,21.29194755,40.14197599,0.891403051
-5.25,18.25,35.624,0.262,27.86584838,45.02743263,6.601280505
-5.25,18.5,35.409,0.261,27.90193405,45.19028119,6.194159118
-5.25,18.75,35.068,0.261,27.95486609,45.26763425,6.163625014
